Name,AATSC1c,ZMIC1,Observed logFM,Predicted logFM,AD,PubChem CID
Oxychlordane,0.9,1.9,-1.02,-0.80,Y,33772
DDE,1.06,1.1,-0.98,-0.64,Y,3035
Mifepristone,1.1,-0.03,-0.96,-0.41,N,4196
Atazanavir,-0.36,1.94,-0.89,-0.70,Y,148192
Nonachlor,1.54,2.54,-0.84,-1.00,Y,19520
Chlordane,1.46,1.88,-0.78,-0.85,Y,5993
HCB,1.69,1.23,-0.70,-0.73,Y,8370
Flupenthixol,0.58,0.7,-0.62,-0.52,Y,5281881
Lopinavir,0.11,1.76,-0.62,-0.70,Y,3817
Propranolol,0.57,-0.34,-0.59,-0.29,Y,4946
Disopyramide,0.86,0.17,-0.59,-0.43,Y,3114
Piperacillin,-1.09,0.76,-0.57,-0.38,Y,4834
Heptachlor epoxide,1.25,1.41,-0.48,-0.73,Y,13930
Etidocaine,0.85,-0.59,-0.47,-0.26,Y,37497
Buprenorphine,0.77,0.33,-0.46,-0.45,Y,2476
Oxprenolol,0.25,-0.68,-0.43,-0.19,Y,4631
Didanosine,-1.41,-1.18,-0.42,0.06,N,3043
Norbuprenorphine,0.47,-0.09,-0.31,-0.34,Y,114976
Clindamycin,-0.27,-0.12,-0.30,-0.27,Y,2786
Lidocaine,0.73,-0.83,-0.26,-0.20,Y,3676
Clonazepam,0.57,-0.16,-0.23,-0.33,Y,2802
Flecainide,-0.96,0.47,-0.20,-0.33,Y,3356
Nevirapine,0.07,-0.77,-0.17,-0.16,Y,4463
Remifentanil,0.03,0.07,-0.14,-0.33,Y,60815
Ethambutol,-0.06,-0.86,-0.12,-0.13,Y,3279
Nifedipine,-0.07,-0.31,-0.11,-0.24,Y,4485
Acebutolol,0.08,-0.61,-0.10,-0.19,Y,1978
Clonidine,-0.42,-0.72,-0.05,-0.13,Y,2803
Ticarcillin,-1.67,-0.20,-0.04,-0.13,Y,5471
Lamivudine,-2.50,-1.24,-0.03,0.17,Y,3877
Chlorpyrifos,-1.46,0.04,-0.01,-0.20,Y,2730
Indomethacin,-0.33,-0.13,-0.01,-0.26,Y,3715
Metronidazole,-0.49,-1.39,0,0.03,Y,4173
Diazinon,-0.73,-0.51,0,-0.14,Y,3017
Metoprolol,0.54,-0.74,0,-0.20,Y,4171
Abacavir,-0.97,-0.71,0.01,-0.08,Y,1971
Procainamide,0.35,-0.62,0.04,-0.21,Y,4913
Zidovudine,-1.45,-1.07,0.09,0.04,Y,5726
Diazepam,0.79,-0.12,0.1,-0.36,N,3016
Stavudine,-2.09,-1.13,0.12,0.11,Y,5155
Valproic acid,-0.27,-1.15,0.18,-0.05,Y,3121
