Name,Observed CI,Predicted CI,Author's Prediction
Acipimox,0.25,0.25,0.38
Alfentanil,0.75,0.75,0.68
4_Aminohippuric_acid,0.47,0.47,0.41
Betamethasone,0.41,0.39,0.44
Biotin,0.35,0.35,0.43
Bisheteroypiperazine,0.72,0.72,0.65
Buprenorphine,0.29,0.29,0.32
Cefoperazone,0.04,0.04,0.06
Cefpirome,0.20,0.20,0.02
L_Leucine,0.62,0.62,0.55
Lidocaine,0.91,0.91,0.96
Clavulanic_acid,0.06,0.06,0.11
Cocaethylene,0.78,0.78,0.82
Cocaine,0.88,0.88,0.74
Cortisone,0.74,0.74,0.63
Creatinine,0.31,0.31,0.36
Stavudine,0.24,0.24,0.25
DDE,0.61,0.61,0.68
Dexamethasone,0.37,0.39,0.44
Dichlorobenzene,0.98,0.98,0.99
Diclofenac,0.79,0.79,0.68
Ethanol,1.07,1.07,1.05
Fenoterol,0.10,0.10,0.18
Ganciclovir,0.17,0.17,0.08
Hydralazine,0.61,0.61,0.62
Indinavir,0.39,0.39,0.34
Alphacetylmethadol,0.95,0.95,0.92
Lamivudine,0.23,0.23,0.19
Lysine,0.35,0.35,0.29
Lopinavir,0.73,0.73,0.60
Meropenem,0.08,0.08,0.16
Metaclopramide,0.40,0.40,0.65
Metformin,0.34,0.34,0.44
Methadone,0.83,0.83,0.97
Naloxone,0.64,0.64,0.46
Oseltamivir,0.13,0.13,0.28
 Hydroxyphenytoin ,0.52,0.52,0.51
PCB_52,0.74,0.74,0.62
Pentamidine,0.04,0.04,0.04
Phenobarbitone,0.52,0.52,0.63
Propofol,0.51,0.51,0.58
Pyridoxal,0.37,0.37,0.40
Pyridoxal_phosphate,0.07,0.07,0.06
Pyridoxine,0.56,0.56,0.45
Pyrimethamine,1.00,1.00,1.03
Quabain,0.07,0.07,0.07
Ribofl_avin,0.69,0.69,0.74
Rifabutin,0.37,0.37,0.42
Ritodrine,0.10,0.10,0.04
Ritonavir,0.09,0.09,0.07
Rosiglitazone,0.20,0.20,0.35
Salbutamol,0.40,0.40,0.30
Saquinavir,0.05,0.05,0.09
SR49059,0.31,0.31,0.33
Sufentanil,0.66,0.66,0.65
Sulindac,0.47,0.47,0.60
Sulindac_sulfide,0.81,0.81,0.64
Theophylline,0.80,0.80,0.64
Thiopental,0.95,0.95,0.89
Ticarcillin,0.04,0.04,0.14
Trovafl oxacin,0.19,0.19,0.23
Urea,0.32,0.32,0.28
Valproic_acid,0.95,0.95,0.93
Vinblastine,0.31,0.31,0.23
Zalcitabine,0.22,0.37,0.34
