,Compound,No.,SMILES,Name,CI-Obs.,CI-Cal.,Test,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
0,Abacavir,1,NC1=NC(NC2CC2)=C2N=CN([C@@H]3C[C@H](CO)C=C3)C2=N1,Abacavir,0.47,0.62,1,0.45943283563015225,0.9726419343789156,0.001015651611830536,0.23230942186584103,0.8167686926818766,804.1819489753899,2827.395608269015,3461.6846037342643,3.5193929186843103,0.11758230819602897
1,Acipimox,2,CC1=CN=C(C=[N+]1[O-])C(=O)O,Acipimox,0.25,0.38,0,0.48642698120833017,0.9757426831929963,0.004010922355318965,0.21892057051664177,0.7853093164881267,195.79269976311366,702.3452883457909,894.3549676535765,2.411444029165679,0.04464651906525889
2,Acyclovir,3,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,Acyclovir,0.17,0.09,1,0.45294680894575623,0.9714151878746644,0.001496788068469924,0.23738688414996809,0.7908070005913589,528.3359864030405,1760.045834916114,2225.632592528855,3.1657350602992853,0.097386892291149
3,Alanine,4,CC(N)C(O)=O,Alanine,0.3,0.4,1,0.2094244583835774,0.8973208354870993,0.006688240248452405,0.4413788828214761,0.6802746089570074,101.71204736767889,156.76355607898537,230.4415805248622,1.6564503545967948,0.42603879406346135
4,Alfentanil,5,CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,Alfentanil,0.75,0.68,0,0.6203072027365784,0.9888175654754446,0.0006903794953919607,0.14913021896052717,0.9434945679055093,1366.6317933875532,8646.199827074692,9164.016541471605,4.797915103742741,0.1956257899715859
5,4-Aminohippuric acid(PAH),6,NC1=CC=C(C=C1)C(=O)NCC(O)=O,4_Aminohippuric_acid,0.47,0.41,0,0.6750485147482091,0.9922700773193024,0.00435798142839097,0.12409711381311693,0.9510880661993509,218.24050465274848,1672.6089202133685,1758.6267556665825,3.06539777627388,0.1494155695316576
6,Amprenavir,7,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,Amprenavir,0.38,0.39,1,0.16685411845828543,0.8818350397935509,0.00017200016170071505,0.47155801614680076,0.7792646845618232,4530.604371859632,7486.968444647372,9607.734821009191,4.624307723280825,0.40226938967117837
7,Azidothymidine,8,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,Azidothymidine,0.29,0.15,1,0.5099691839958018,0.9787879542207689,0.0015570138239630645,0.20487591530563593,0.9263505868427832,594.9533476105848,2690.093571423241,2903.969198736843,3.4028359687074037,0.2794911594933019
8,Betamethasone,9,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,Betamethasone,0.41,0.44,0,0.4947874380910416,0.9765271216354826,0.0008859818709298498,0.21539447697264527,0.9572820244428089,1080.4758605705201,4801.980690061475,5016.265392486079,3.7262433646402484,0.3509835213210209
9,Biotin,10,OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,Biotin,0.35,0.43,0,0.509082354710332,0.9789031841574511,0.0015974606768464725,0.20432463396860204,0.9007513030318312,563.8644606952035,2485.758265362135,2759.6499244523347,3.448021200507205,0.29988631570663876
10,Bisheteroypiperazine,11,O=C(N1CCN(C2=NC=CC=C2NCC)CC1)C(N3)=CC4=C3C=CC(OC)=C4,Bisheteroypiperazine,0.72,0.65,0,0.7015879657983177,0.9936596334141857,0.0008987786278338751,0.11243012462496903,0.9525681960580135,1059.8474046426486,8979.594514413653,9426.720891557854,5.06453862524408,0.15298607374543538
11,Buprenorphine,12,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=CC=C(O)C5=C4[C@@]3(CCN1CC1CC1)[C@H]2O5,Buprenorphine,0.29,0.32,0,0.16841057550551114,0.8579899513554481,0.00019837497856085487,0.5136664709449857,0.630005450165625,3175.8312199255524,3895.1169494836095,6182.671829997033,3.764365548664078,0.3147549354558038
12,Cefoperazone,13,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@H]2[C@H]3SCC(CSC4=NN=NN4C)=C(N3C2=O)C(O)=O)C2=CC=C(O)C=C2)C(=O)C1=O,Cefoperazone,0.04,0.06,0,0.22239705840845997,0.9086901349591061,0.00011389043165640408,0.4174712428754839,0.7228747339933418,6347.106806778832,10990.369331729167,15203.698254904559,5.01987550027527,0.21070960453324009
13,Cefpirome,14,CO\N=C(/C(O)=N[C@H]1[C@H]2SCC(C[N+]3=CC=CC4=C3CCC4)=C(N2C1=O)C([O-])=O)C1=CSC(=N)N1,Cefpirome,0.2,0.02,0,0.3777275085683577,0.9579292855966629,0.0003278730613733825,0.2870043271385762,0.9349736781597464,2851.6331114345394,9289.762023945837,9935.854068352308,4.631559343068307,0.30382516620173833
14,Ceftizoxime,15,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(O)=O)C1=CSC(N)=N1,Ceftizoxime,0.12,0.04,1,0.4158576747965871,0.9661457227237231,0.0005053432663503575,0.25799698149911515,0.8323649634915253,1647.12784144321,5314.060256218364,6384.29113345599,4.171764698339002,0.1371188113068041
15,Chloroprocaine,16,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1Cl,Chloroprocaine,0.83,0.69,1,0.6331742869130829,0.9896856755908102,0.0018037984160910864,0.14325593715571286,0.9491966287481576,526.221012437249,3486.6772079328102,3673.2928692879937,3.767457294915175,0.18119310373008285
16,L-Leucine,17,CC(C)C[C@H](N)C(O)=O,L_Leucine,0.62,0.55,0,0.19256256004875935,0.8972575848863237,0.004018433141954647,0.4415074476879884,0.8815978722406983,219.38846338796404,438.07279702712793,496.9077294999676,2.0976440357970736,0.5726223221758274
17,Lidocaine,18,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,Lidocaine,0.91,0.96,0,0.48226212064743335,0.975351315288063,0.001772617879094943,0.22065768005180683,0.9294569775205923,524.3414209469393,2208.6373435439555,2376.2663543994136,3.301698244693984,0.2909541319992605
18,Bupivacaine,19,CCCCN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,Bupivacaine,0.73,0.91,1,0.3199609466756034,0.9454450689733453,0.0007030187150601179,0.32578155496281014,0.7794231457676469,1108.6805074613062,2652.4867218937798,3403.1408180486724,3.5240993916564336,0.21597197659847153
19,Cimetidine,20,CN=C(NCCSCC1=C(C)N=CN1)NC#N,Cimetidine,0.3,0.38,1,0.607010774368693,0.987792192665273,0.0016212883351121802,0.15577735428980738,0.9491952404163725,585.457392037978,3567.35658095197,3758.2959006274823,3.9591744420664905,0.2622782208765289
20,Clavulanic acid,21,OC\C=C1/O[C@@H]2CC(=O)N2[C@H]1C(O)=O,Clavulanic_acid,0.06,0.11,0,0.21772043315051984,0.9059535660115431,0.0014052661830655639,0.4233770615314069,0.7171923938635633,510.360529916845,864.5406741229087,1205.4515378580222,2.545196412571461,0.295075584123615
21,Cocaethylene,22,CCOC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1OC(=O)C1=CC=CC=C1)N2C,Cocaethylene,0.78,0.82,0,0.28869423528744037,0.9369564028922631,0.0005927466373421041,0.34944627495394937,0.7947214674977923,1340.743949322682,3049.161130949023,3836.767038078651,3.600011578617554,0.25529321396194693
